Added 	 增加
Choose this option if you plan to pass the state file on to someone else, but you do not want them to be able to receive details of any ongoing Burp Collaborator interactions that are associated with your testing. Any new scanning that is performed by the other user will use a different unique identifier, to avoid any interference with other instances of Burp.	如果您计划将状态文件传递给其他人但不想继续接收与测试相关联的Collaborator的通信详细信息，请选择此选项。要执行的新扫描使用不同的唯一标识符以避免干扰其他Burp实例。
Choose this option if you plan to use the project file later and continue testing, or pass it on to someone else who will take over your testing. You should be aware that if any testing is continued using multiple instances of Burp, then some Collaborator-based issues may be missed or incorrectly reported.	如果您想稍后加载此项目文件并继续测试或将其传递给其他人接管测试，请选择此选项。如果继续使用多个Burp实例进行测试，可能会错过或报告基于Collaborator的问题。
Choose which tools you want to restore the configuration of.	请选择一种工具来恢复设置。
Choose which tools you want to restore the state of.	请选择恢复状态的工具。
Choose which tools you want to save the configuration of.	请选择一种工具来保存设置。
Choose which tools you want to save the state of. Note that it is not necessary to save the Spider state. The Spider request queues will be automatically rebuilt based on a restored target site map and scope configuration.	请选择要保存在该状态的工具。请注意，您无需保存Spider的状态。 Spider的请求队列将从还原的目标站点地图和范围设置中自动重建。
Choosing this option means that your instance of Burp will not receive details of any ongoing Burp Collaborator interactions that were associated with the project. Any new scanning that you perform will use a different unique identifier, to avoid any interference with other instances of Burp.	如果选择此选项，则此Burp实例将不会收到与正在进行的与项目关联的Burp Collaborator进行通信的详细信息。要执行的新扫描使用不同的唯一标识符以避免干扰其他Burp实例。
Choosing this option means that your instance of Burp will receive details of any ongoing Burp Collaborator interactions that are associated with the project. If any other instance of Burp is also receiving interaction details for the same project, then some Collaborator-based issues may be missed or incorrectly reported.	如果选择此选项，此Burp实例将接收与正在进行的与项目关联的Burp Collaborator的通信的详细信息。如果其他Burp实例也接收到同一项目的通信详细信息，则可能会错过或报告基于协作者的问题。
Cipher	Cipher加密
Clean Burp from computer	从计算机中删除Burp
Clear	清除
Clear all	清除所有
Clear all items and separators from all positions	从所有位置清除项目和分隔符
Clear all payload markers	清除所有有效载荷标记
Clear all text and payload markers	清除所有文本和有效载荷标记
Clear event log	清除事件日志
Clear histories	清除的历史
Clear history	清除的历史
Clear queues	清除队列
Clear the contents of the viewer	清除查看器内容
Clear §	§清除
Click "Copy to clipboard" to generate Burp Collaborator payloads that you can use in your own testing. Any interactions that result from using the payloads will appear below.	通过单击“复制到剪贴板”，您可以生成可在您自己的测试中使用的Burp Collaborator的有效载荷。下面显示使用有效载荷的结果的通信。
Click to modify	点击编辑
Client SSL Certificate	客户端SSL证书
Client SSL Certificates	客户端SSL证书
Client-side	客户端
Close	关闭
Close wizard	关闭向导
Cluster bomb	集束炸弹(Clusterbomb)
Collapse	折叠
Collapse branch	折叠分支
Columns	列
Comment	评论
Comment this item	评论这个项目
Comment:	编辑点评：
Comments	评论
Comments:	编辑点评：
Compare ...	比较 ...
Compare responses	响应比较
Compare site map	Sitemap比较
Compare site maps	Sitemaps比较
Compression	压缩
Computing differences	计算差异
Concatenate to single file	连接到单个文件
Concurrent request limit:	同时请求限制：
Condition	条件
Confidence	可靠性
Config	设定
Configuration File Error	配置文件错误
Configuration exported successfully.	成功导出设置。
Configuration imported successfully.	成功导入设置。
Configuration library	配置库
Configuration name:	设定名:
Configuration:	设定:
Configure	设定
Configure Macro Item	宏项目设置
Configure REST API URL	REST API URL设置
Configure hotkeys	配置热键
Configure how cookies and request parameters are handled for this macro item.	设置如何在此宏项中处理cookie和请求参数。
Configure item	项目设置
Configure predefined payload lists	编辑预定义的有效载荷
Configure target details	设定目标详情
Configure the details of the custom parameter location. You need to specify the name that is used for this parameter in subsequent macro requests, and the location within this response from which the parameter's value should be derived.	设置自定义参数位置的详细信息在后续宏请求中使用此参数时，必须指定名称，并将要提取的响应中的位置指定为参数值。
Configure the details of the target for the attack.	请设置攻击目标的详细信息。
Configure the location of the items that Burp Intruder should use for its predefined payload lists.	请设置Burp 攻击器使用的预定义有效载荷列表的位置
Configure the options below to determine how Burp handles certain features of responses when performing comparisons.	执行比较时，请设置以下选项，以了解Burp如何处理响应的每个功能。
Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.	设置在基本请求中插入有效载荷的位置。攻击类型指定如何将有效载荷分配给有效载荷位置。 - 有关详细信息，请参阅帮助。
Configure the selected item	设置所选项目
Configure the settings for the custom token location	令牌位置的自定义设置
Configure the sources Burp should use for generating filenames to test.	设置文件名测试生成的源。
Confirm	确认
Connections	连接
Consolidate frequently occurring passive issues	整合频繁发生的被动问题
Consolidate items	整合项目......
Consolidate items...	整合项目......
Construct string	构造字符串
Construct string in JavaScript	构造JavaScript字符串
Construct string in Microsoft SQL Server	构造Microsoft SQL Server字符串
Construct string in MySQL	构造MySQL字符串
Construct string in Oracle	构造Oracle字符串
Contacting License Server	连接到许可证服务器
Contains parameters	包括参数
Content type header	内容类型头部
Contents	内容
Continue	下一个
Continue indefinitely	无限期地重复
Control	控制
Convert HTTPS links to HTTP	将HTTPS链接转换为HTTP
Convert selection	转换选择
Convert to JavaScript constructed string	转换为JavaScript语法字符串
Convert to Microsoft SQL Server constructed string	转换为Microsoft SQL Server语法字符串
Convert to MySQL constructed string	转换为MySQL语法字符串
Convert to Oracle constructed string	转换为Oracle语法字符串
Cookie handling	Cookie处理
Cookie jar viewer	Cookie jar查看器
Cookie name	cookie名
Cookie parameter values	Cookie参数值
Cookie to URL	来自cookie的URL
Cookie to body	来自主体的cookie
Cookie value	Cookie值
Cookie:	Cookie：
Cookies	Cookies
Cookies received	收到的cookie
Copy	复制
Copy ...	复制......
Copy Clickbandit to clipboard	将Clickbandit复制到剪贴板
Copy HTML	复制HTML
Copy URL	复制网址
Copy URLs	复制网址
Copy URLs in this branch	复制此分支的URL
Copy URLs in this host	将URL复制到此主机
Copy as curl command	复制curl命令
Copy attack config	复制攻击配置
Copy configuration from first tab	从第一个选项卡复制设置
Copy configuration from last tab	从上一个标签复制设置
Copy content from suite site map	从Sitemap复制内容
Copy details	复制细节
Copy from position:	来源位置：
Copy key to clipboard	将密钥复制到剪贴板
Copy link	复制链接
Copy links	复制链接
Copy links in selected items	复制所选项目的链接
Copy links in selection	复制所选链接
Copy links in this branch	复制此分支的链接
Copy links in this host	将此链接复制到此主机
Copy other payload	复制其他载荷(Copy other payload)
Copy project	项目复制
Copy request	复制请求
Copy selected URLs	复制所选的URL
Copy to clipboard	复制到剪贴板
Copy to file	复制到文件
Copy tokens	复制令牌
Correlation	关联
Count	计数
Crawl	爬行
Crawl Limits	爬行限制
Crawl Optimization	爬行优化
Crawl and audit	爬行和审计
Crawl finished	爬行完成
Crawl finished.	抓取完成。
Crawl strategy tuning	调整爬行策略
Crawl strategy:	爬行策略：
Crawler Settings	爬行设置
Crawling	爬行
Crawling modern applications is sometimes an open-ended exercise, due to the amount of stateful functionality, volatile content, and unbounded navigation. Burp's crawler uses various techniques to maximise discovery of unique content early in the crawl. These settings let you impose a limit on the extent of the crawl, as it reaches the point of diminishing returns. You can leave any crawl limit setting blank to disable it.	由于有状态功能，不稳定的内容和无限制的导航，最新应用程序的爬行可能无止境。 Burp的爬虫使用各种技术尝试在最早的爬行时发现独特的内容。使用这些设置，爬行范围有限。将爬行限制留空以禁用它。
Create a new rule	创建新规则
Create new resource pool	创建一个新的资源池
Create new task	创建一个新任务
Create new tasks paused	创建暂停的任务
Create new tasks running	从任务创建开始
Critical	紧急
Cross-domain XHR (modern browsers only)	跨域XHR（仅限最新浏览器）
Current Action	当前动作
Current auditing configuration	当前的审计设置
Current live passive crawling configuration	当前的实时被动爬行设置
Current project file selected	已选择当前项目文件
Custom	自定义
Custom directory list:	自定义目录列表：
Custom file list:	自定义文件列表：
Custom iterator	自定义迭代器(Custom iterator)
Custom location:	自定义位置：
Custom parameter locations in response	响应中的自定义参数位置
Custom scope	自定义范围
Custom scope: Pasted value is not a valid URL	自定义范围：粘贴的值不是有效的URL
Custom:	自定义：
Cut	切割
Dashboard	仪表盘
Data	数据
Dates	日期(Dates)
Day rate:	日费率：
Days	日
Debug	调试
Debug ID:	调试ID：
December	12月
Decode as ...	解码......
Decode as ASCII hex	解码为ASCII十六进制
Deduplication	去重
Default configuration	默认设置
Default to the above in future	在下次之后将其设为默认值
Default to this option in future	下次之后将此选项设为默认选项
Define Custom Parameter	自定义参数定义
Define behavior dependent on session validity:	依赖于会话有效性的行为定义：
Define custom token location	令牌位置的自定义定义
Define extract grep from response	从响应中定义提取的grep
Define extract grep item	提取的grep项的定义
Define start and end	定义开始和结束
Define the URLs to scan. Burp will begin crawling from these URLs, and by default will include everything beneath the specified URLs' folders.	请定义要扫描的URL。 Burp开始从这些URL进行爬行，默认情况下它包含指定URL文件夹下的所有内容。
Define the in-scope targets for your current work. This configuration affects the behavior of tools throughout the suite. The easiest way to configure scope is to browse to your target and use the context menus in the site map to include or exclude URL paths.	在当前工作的范围内定义目标。此设置会影响整个工具的操作。如果您在浏览器中浏览目标并在Sitemap上下文菜单中包含或排除URL路径，则范围设置很容易。
Define the location of the item to be extracted. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义要提取的项目的位置。在响应面板中选择项目时，将自动创建相应的设置。您也可以手动更改设置以有效工作。
Define the location of the parameter value. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义参数值的位置。在响应面板中选择项目时，将自动创建相应的设置。您也可以手动更改设置以有效工作。
Define the location of the token within the response. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	在响应中定义令牌的位置。在响应面板中选择项目时，将自动创建相应的设置。您也可以手动更改设置以有效工作。
Define the start directory for the content discovery session, and whether files or directories should be targeted.	定义目录以启动内容发现会话和目标文件或目录。
Define which items are processed by the live scan, based on their URL.	根据URL，请定义要在实时扫描中处理的项目。
Delay between requests	请求之间的延迟
Delay between requests:	请求之间的延迟：
Delete	删除
Delete backup file on clean shutdown of Burp	当Burp正常完成时删除备份文件
Delete branch	删除分支
Delete byte	删除字节
Delete bytes ...	删除多个字节......
Delete cells	删除单元格
Delete host	删除主机
Delete issue	删除问题
Delete issues	删除问题
Delete issues for selected branches	删除所选分支的问题
Delete issues for this branch	删除此分支问题
Delete issues for this host	删除此主机问题
Delete item	删除项目
Delete old temporary files?	您确定要删除旧的临时文件吗？
Delete selected issues	删除所选问题
Delete selected items	删除所选项目
Deleting Burp executable.	删除Burp可执行程序。
Deleting Burp license key.	删除许可证密钥。
Deleting license key.	删除许可证密钥。
Deleting saved preferences.	删除已保存的设置。
Deleting temporary files.	删除临时文件。
Delimiter:	分隔符：
Derivations based on discovered items	根据检测到的项目导出
Derived parameters	派生参数
Description	描述
Description:	描述:
Destination host	目标主机
Destination host is not valid	目标主机无效
Destination host, may include wildcards	目标主机，可能包含通配符
Destination host:	目标主机：
Detail	详细
Detailed scope configuration	详细的范围设置
Details	详细
Detect custom "not found" responses	检测自定义的“未找到”响应
Detection methods	检测方法
Diagnostics	诊断
Diff count	差异数量
Direction	方向
Directories - long	目录 - 长
Directories - short	目录 - 简短
Directories / files . extensions	目录 / 文件 扩展名
Directories only	仅限目录
Directory:	目录：
Disable Java SNI extension (requires restart)	禁用Java SNI扩展（需要重新启动）
Disable SSL session resume	禁用SSL会话恢复
Disable extensions	禁用扩展
Disable web interface at http://burp	禁用http：// burp的Web界面
Discover content	内容发现
Discover:	发现:
Discovery Engine	发现引擎
Discovery Session Status	发现会话状态
Display	显示
Display as raw bytes	显示为原始字节
Do DNS lookups over SOCKS proxy	执行SOCKS代理上的DNS搜索
Do a passive scan	执行被动扫描
Do an active scan	执行主动扫描
Do illegal UTF-8	执行无效的UTF-8
Do illegal hex	执行无效的hex
Do intercept	执行拦截
Do not include Burp Collaborator identifier in the project file	不在项目文件中包含Burp Collaborator的标识符
Do not include Burp Collaborator identifier in the state file	不在状态文件中包含Burp Collaborator的标识符
Do not include requests	不包括请求
Do not include responses	不包括响应
Do not save	不保存
Do not take full ownership of the project	不获得项目的完整所有权
Do nothing	什么都不做
Do platform authentication	执行平台验证
Do you wish to continue?	你想继续吗？
Does not contain parameters	不包含参数
Does not match	不匹配
Doing FIPS long run test	正在进行FIPS最长运行测试
Doing FIPS monobit test	正在进行FIPS一维频率测试
Doing FIPS poker test	正在进行FIPS扑克验证
Doing FIPS runs test	正在进行FIPS连续测试
Doing bit compression test	正在进行bit压缩测试
Doing bit correlation test	正在进行bit相关测试
Doing character set tests	正在进行字符集测试
Doing spectral tests	正在进行频谱测试
Domain	域
Domain hostname	域名主机名
Domain hostname:	域名主机名：
Domain name	域名
Domain name resolution:	域名解析：
Domain:	域：
Don't ask again for this server	不再次请求此服务器
Don't compare non-text content	不比较非文本内容
Don't intercept requests	不拦截请求
Don't intercept responses	不拦截响应
Don't perform static code analysis	不执行静态代码分析
Don't restore	不进行恢复
Don't scan	不执行扫描
Don't send items to Proxy history or live tasks	不将项目发送到代理历史记录或实时任务
Don't send items to Proxy history or live tasks, if out of scope	如果超出范围，不将项目发送到代理历史记录或实时任务
Don't submit forms	不要提交表格
Don't submit login forms	不要发送登录表单
Don't use Burp Collaborator	不要使用Burp Collaborator
Done	完成
Down	下
Download	下载
Download failed.	下载失败。
Download other installers	下载其他安装程序
Downloading update	下载更新
Drop all out-of-scope requests	销毁范围之外的所有请求
Duplicate	重复
Duplicate configuration	重复设置
Duplicate hotkeys are configured	重复热键设置
Duplicate the selected item	复制所选项目
Duplicate the selected macro	复制选定的宏
Duplicate the selected rule	复制所选规则
Dynamic URLs	动态URL
Dynamic analysis	动态分析
Dynamic update	动态更新
ECB block shuffler	ECB加密块洗牌(ECB block shuffler)
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to include this identifier in your new project file.	每个Burp项目都有一个唯一的标识符，用于标识与项目相关的Burp Collaborator的通信。您需要决定是否将此标识符保存在新项目文件中。
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to save this identifier in your state file.	每个Burp项目都有一个唯一的标识符，用于标识与项目相关的Burp Collaborator的通信。有必要决定是否将此标识符保存在状态文件中。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating SSL connections. You can import or export this certificate for use in other tools or another installation of Burp.	每次安装Burp时，它都会生成自己的CA证书，并在代理侦听器建立SSL连接时使用。此证书可以导入和导出，并可以与其他工具或其他计算机上安装的Burp一起使用。
Edit	编辑
Edit "skip parameter" rule	编辑“跳过参数”规则
Edit API key	编辑API密钥
Edit Login Credentials	编辑登录凭据
Edit SSL passthrough target	编辑SSL穿透目标
Edit URL to exclude from scope	编辑要从范围中排除的URL
Edit URL to include in scope	编辑要包含在范围中的URL
Edit audit scan	编辑审计扫描
Edit auditing configuration	编辑审计设置
Edit cookie	编辑Cookie
Edit crawl and audit scan	编辑爬行和审计扫描
Edit crawling configuration	编辑抓取设置
Edit detection methods	编辑检测方法
Edit form field completion rule	编辑表单字段完成规则
Edit hostname resolution rule	编辑主机名解析规则
Edit hotkeys	编辑热键
Edit list	编辑列表
Edit live audit task	编辑实时审计任务
Edit live passive crawl task	编辑实时被动爬行任务
Edit live passive crawling configuration	编辑被动爬行配置
Edit match/replace rule	编辑搜索/替换规则
Edit payload processing rule	编辑有效载荷处理规则
Edit platform authentication credentials	编辑平台身份验证凭据
Edit prefix for in-scope URLs	编辑范围内URL的前缀
Edit prefix for out-of-scope URLs	编辑范围外的范围前缀
Edit proxy listener	编辑代理侦听器
Edit request interception rule	编辑请求拦截规则
Edit scanning configuration	编辑扫描设置
Edit streaming URL	编辑流式URL
Edit streaming URL prefix	编辑流式URL的前缀
Edit target	编辑目标
Edit the selected cookie	编辑所选Cookie
Edit the selected custom parameter location	编辑所选定义参数位置
Edit the selected header	编辑所选头部
Edit the selected item	编辑所选项目
Edit the selected listener	编辑所选侦听器
Edit the selected macro	编辑所选宏
Edit the selected parameter	编辑所选参数
Edit the selected rule	编辑所选规则
Edit the selected task	编辑所选任务
Edit upstream proxy rule	编辑上行代理规则
Edited	编辑
Edited message	编辑后的消息
Edited request	编辑后请求
Edited response	编辑后的响应
Effective Entropy	有效熵
Embed images within HTML (requires modern browser)	在HTML中嵌入图片（需要最新的浏览器）
Embedded Browser Health Check	内置浏览器健康检查
Embedded browser health check	内置浏览器健康检查
Empty cookie jar	清空Cookie jar
Enable algorithms blocked by Java security policy (requires restart)	启用Java安全策略阻止的算法（需要重启）
Enable disabled form fields	激活无效的表单字段
Enable embedded browser sandbox (Windows only)	启用内置浏览器沙箱（仅限Windows）
Enable interception at startup:	启动时启用拦截：
Enable logging	激活日志
Enabled	启用
Encode	编码
Encode as ...	编码......
Encode as ASCII hex	编码为ASCII hex
Encrypted data to shuffle:	要加密的加密数据：
End	结束
End at delimiter:	以此分隔符结束：
End at fixed length:	以固定长度结束：
End time	结束时间
Engagement tools	相关工具
Engagement tools [Pro version only]	相关工具[仅限专业版]
Enter a comment	输入评论
Enter a new item	输入新项目
Enter license key	请输入许可证密钥
Enter master password	请输入主密码
Enter number of cells to delete	请输入要删除的单元格数
Enter number of cells to insert	请输入要插入的单元格数
Enter password	输入密码
Enter regex or leave blank	输入正则表达式或将其留空
Enter regex, IP range or leave blank	输入正则表达式、IP范围或将其留空
Enter the PIN code for your hardware token or smart card.	请输入硬件令牌或智能卡PIN码。
Enter the details of the parameter.	请输入参数的详细信息。
Enter the details of the payload processing rule.	请输入有效载荷处理规则的详细信息
Enter the details of the upstream proxy rule. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot). Leave the proxy host blank to connect directly for the specified destination host.	请输入上层代理的详细信息。您可以使用通配符（*表示零个或多个字母，？对于除点之外的任何字符）以指定目标主机。将代理主机留空以直接连接到指定的主机。
Enter the details of when the task should run. The task can be scheduled to run once at a specific time, or to repeat at a defined interval.	输入执行任务计划的详细时间。任务只能在指定时间执行一次，或者以指定的时间间隔重复执行。
Enter the full string to be submitted as the custom request header.	请输入要作为自定义请求标头发送的所有字符串。
Enter the hostname and IP address. Burp will use this setting instead of the DNS resolution provided by your computer.	请输入主机名和IP地址。使用此设置而不是计算机的DNS名称解析。
Enter the master password that was used to encrypt stored passwords.	请输入用于加密密码存储区的主密码。
Enter the master password to encrypt stored passwords. A strong password is recommended.	请输入主密码以加密密码存储区。建议使用强密码。
Enter the platform credentials for the specified destination host.	请输入目标主机平台凭据。
Entire body	全部主体
Entire body (for relevant content types)	全部主体（如果是相关内容类型）
Error	错误
Error messages	错误消息
Error reason	错误原因
Error-based	基于错误
Errors	错误
Errors:	错误：
Estimated encodings:	预期编码数量：
Event detail	事件详情
Event log	事件日志
Events	事件
Everything	所有
Exact	提取
Example	示例
Example:	示例:
Examples	示例
Examples:	示例:
Except for:	除以下情况外：
Exclude HTTP headers	排除HTTP标头
Exclude form field values	排除表单字段值
Exclude from scope	从范围中排除
Exclude headers	排除头部
Excluded URL prefixes	已排除的URL前缀
Excluded URLs	已排除的网址
Exit	结束
Exit Burp	退出Burp
Expand	展开
Expand branch	展开分支
Expand requested items	展开请求的项目
Expand the areas that you want to define in this configuration.	展开此设置定义的范围。
Expires	有效期限
Export	导出
Export Options	导出选项
Export comments	导出评论
Export configuration	导出设置
Export configurations	导出设置
Export scripts	导出脚本
Expression	表达式
Extension	扩展
Extension action handler:	扩展动作处理：
Extension file:	扩展文件：
Extension loaded	扩展加载
Extension payload generator:	扩展有效载荷生成器
Extension-generated	通过扩展生成(Extension-generated)
Extensions	扩展
Extensions - long	扩展 - 长
Extensions - short	扩展 - 短
Extensions let you customize Burp's behavior using your own or third-party code.	您可以使用自己或第三方代码自定义Burp的功能。
External / out-of-band interaction	外部/带外交互
Extract from regex group	从正则表达式组中提取
Extract the following items from responses:	从响应中提取以下项目：
Extracted value is URL-encoded	提取的值是URL编码的
Failed domain name resolution:	名称解析失败：
Failed parameters	参数失败
Failed to access file	访问文件失败
Failed to check for updates. Please log in to your account at https://portswigger.net to check for updates.	检查更新失败。通过https://portswigger.net登录您的帐户并检查更新。
Failed to decrypt stored passwords. Enter the master password that was used to encrypt stored passwords.	解密保存的密码失败。请输入用于加密密码存储区的主密码。
Failed to delete Burp executable.	删除Burp可执行程序失败。
Failed to download BApp file	下载BApp文件失败
Failed to load certificate: keystore password was incorrect	加载证书失败：密钥库密码不正确
Failed to open file	打开文件失败
Failed to open folder	打开文件夹失败
Failed to retrieve response	收取响应失败
Failed to save file. Please try another location.	保存文件失败。请尝试其他位置。
Failed to save project.	保存项目失败。
Failed to update BApp list	更新BApp列表失败
Failed to verify BApp file	BApp文件验证失败
Failed to verify integrity of download.	确认下载内容一致性失败。
False positive	错误检测
Fast	快速
February	2月
Feedback only contains technical information about Burp's internal functioning, and does not identify you in any way. If you do report a bug via email, you can help us diagnose any problems that your instance of Burp has encountered by including your debug ID.	反馈仅包含有关Burp内部功能的技术信息，无法识别您的身份。如果您通过电子邮件报告错误，包括您的调试ID将帮助您审计遇到的问题。
Fetch response	获取响应
Field name	字段名称
Field name cannot be blank	字段名称不能为空
Field name:	字段名称：
Field value	字段值
Field value:	字段值：
File	文件
File Extension	文件扩展名
File Extensions	文件扩展名
File already exists in the specified folder.	该文件已存在于指定的文件夹中。
File cannot be read or does not contain valid JSON	无法读取文件或找不到有效的JSON
File details:	文件详情：
File does not exist	文件不存在
File extension	文件扩展名
File extensions	文件扩展名
File for recovered project	恢复后的项目文件
File path traversal / manipulation	文件路径遍历/操作
File retrieval	文件获取
File was downloaded successfully.	该文件已成功下载。
File was saved successfully.	该文件已成功保存。
File:	文件：
Filenames	文件名
Filenames - long	文件名 - 长
Filenames - short	文件名 - 短
Files and directories	文件和目录
Files only	仅限文件
Filter	过滤器
Filter by MIME type	按MIME类型过滤
Filter by annotation	按注释过滤
Filter by extension	按扩展名过滤
Filter by file extension	按文件扩展名过滤
Filter by listener	按侦听器过滤
Filter by request type	按请求类型过滤
Filter by search term	按搜索字词过滤
Filter by search term [Pro only]	按搜索词过滤[仅限专业版]
Filter by status code	按状态码过滤
Filter:	过滤器：
Filter: 	过滤器：
Find comments	评论搜索
Find references	参考源搜索
Find scripts	脚本搜索
Finish	完成
Finished	已完成
Finished.	已完成.
Firm	貌似
Fixed	固定
Flag result items with responses matching these expressions:	将标志设置为与这些字符串匹配的响应：
Folder for loading library JAR files (optional):	用于读取库的JAR文件的文件夹（可选）：
Folder for loading modules (optional):	加载模块的文件夹（可选）：
Folders	文件夹
Follow redirection	跟随重定向
Follow redirection:	跟随重定向：
Follow redirections	跟随重定向
Follow redirections where necessary	在需要时跟随重定向重定向
Follow redirections:	跟随重定向：
Follow the redirection in the current response	遵循当前的响应重定向
Font	字体
Font size:	字体大小：
Font:	字体：
For this directory	此目录
For this file extension	此文件扩展名
Force use of SSL	强制使用SSL
Form Submission	表格提交
Form field names	表单字段名称
Form field values	表单字段值
Form field:	表格字段：
Form submissions	表格提交
Format of original data:	格式化原始数据：
Format strings	格式化字符串
Format:	形式:
Forms	表单
Forms queued:	表单队列：
Forward	发送
Frequently Occurring Insertion Points	高频率插入点
From this IP address	来自此IP地址
From this host	来此主机
Function	功能
Function fingerprint threshold:	指纹功能阈值：
Fuzzing - SQL injection	模糊测试 -  SQL注入
Fuzzing - XSS	模糊测试 -  XSS
Fuzzing - full	模糊测试 - 完整
Fuzzing - path traversal	模糊测试 - 路径遍历
Generate	生成
Generate CA-signed per-host certificates	为CA签名的每个主机生成证书
Generate CSRF PoC	CSRF PoC生成
Generate Collaborator payloads	协作者有效载荷生成
Generate a CA-signed certificate with a specific hostname:	生成由CA签名的指定主机名的证书：
Getting Started	入门
Getting Started With Burp Suite	Burp Suite入门
Getting started	入门
Go	发送
Go Up	移至上部
Go back	返回
Go forward	前进
Go to the next item in the history	移至历史记录中的下一个项目
Go to the previous item in the history	移至历史记录中的上一项
Hex	十六进制
HTML Rendering	HTML呈现
HTML-decode	HTML解码
HTML-encode all characters	HTML编码全部字符
HTML-encode all characters (hex entities)	HTML编码所有字符（请参阅十六进制数字字符）
HTML-encode all characters (numeric entities)	HTML编码所有字符（请参阅十进制数字字符）
HTML-encode key characters	HTML编码关键字符
HTTP Message Display	HTTP消息显示
HTTP header injection	HTTP标头注入
HTTP headers	HTTP头部
HTTP history	HTTP历史记录
HTTP method	HTTP方法
HTTP verbs	HTTP动词
Handle as ordinary forms	处理为正常形式
Handling Application Errors During Audit	处理审计期间的应用错误
Handling Application Errors During Crawl	处理爬行期间的应用程序错误
Hash ...	哈希......
Header cannot be blank	头部不能为空
Header manipulation	头部操作
Header:	头部：
Headers	请求头部
Help improve Burp by submitting anonymous feedback about its performance	匿名发送性能反馈以改善Burp
Hex	十六进制
Hex formatting	十六进制格式
Hide	隐藏
Hide all	隐藏全部
Hide details	隐藏细节
Hide empty folders	隐藏空文件夹
Hide finished items	隐藏已完成的项目
Hide incoming messages	隐藏入站邮件
Hide items without responses	隐藏没有响应的项目
Hide not-found items	隐藏不存在的项目
Hide outgoing messages	隐藏已发送的信息
Hide warning	隐藏警告
Hide:	隐藏:
High	高
High and medium issues	高、中风险问题
High issues	高风险问题
High severity	优先度高
High, medium and low issues	高，中，低风险问题
Highlight response syntax	高亮响应语法
History logging is disabled	历史记录已被禁用
History logging of out-of-scope items is disabled	超出范围的项目记录已被禁用
Host	主机
Host / IP range	主机/ IP范围
Host or IP range:	主机或IP范围：
Host, may include wildcards, or leave blank to apply to all hosts	主机（已启用通配符）或所有主机为空
Host:	主机：
Hostname	主机名
Hostname Resolution	主机名解析
Hostname:	主机名：
Hotkey	热键
Hotkeys	热键
Hours	小时
How many:	数量：
However, an overly short longest run of bits also indicates that the sample is not random.	但是，最长的位序列太短也表明样本不是随机的。
I Accept	我接受
I Decline	我拒绝
IIS files and directories	IIS文件和目录
IMPORTANT NOTICE: You should read all of the documentation about Burp Infiltrator before using it or inducing anyone else to use it. You should only use Burp Infiltrator in full understanding of its nature and the risks inherent in its utilization.	重要说明：在使用Burp Infiltrator或将其提供给其他人之前，您应该阅读所有文档。只有在您完全了解使用Burp Infiltrator的性质和风险时才应使用它。
IP address	IP地址
IP address:	IP地址：
Identifying items to audit.	识别要审计的项目。
If	如果
If not already present, add as:	如果它不存在，请将其添加为以下值：
If session is invalid, perform the action below:	如果会话无效，请执行以下操作：
If session is valid, don't process any further rules or actions for this request	如果会话有效，请不要对此请求处理进一步的规则或操作
If you wish to switch to the new project file, please exit Burp and re-start.	要切换到新的项目文件，请退出Burp并重新启动它。
Ignore	忽略
Ignore duplicate items based on URL and parameter names	根据URL和参数名称忽略重复的项目
Ignore form	忽略形式
Ignore links to non-text content	忽略非文本内容的链接
Ignore these headers:	忽略这些头部：
Ignore these parameters:	忽略这些参数：
Ignore tokens whose length deviates by	忽略不同长度的令牌
Ignore whitespace-only variations	忽略仅空白值
Ignored Insertion Points	忽略插入点
Illegal UTF-8 continuation bytes	非法UTF-8延续字节
Illegal Unicode	非法Unicode(Illegal Unicode)
Illegal hex characters	非法十六进制字符
Images	图片
Immediately	立即
Import	进口
Import / export CA certificate	导入/导出CA证书
Import completed	导入完成
Import configurations	导入设置
Import legacy state file	导入旧的状态文件
Import project	导入项目
Import project [disk projects only]	导入项目[仅限光盘项目]
Import project file	导入项目文件
Import project file [disk projects only]	导入项目[仅限光盘项目]
In	在
In current browser session	使用当前浏览器会话
In current session	在当前会话
In future, just copy the URL and don't show this dialog	从现在开始，自动复制URL，不显示此对话框。
In original session	使用原始会话
In request does not match	与请求不匹配
In request matches	根据请求匹配
In response does not match	它与响应中的一个不匹配
In response matches	匹配响应
In-band	带内
In-scope only	仅限范围之内
Include Burp Collaborator identifier in the state file	在状态文件中包含Burp Collaborator标识符
Include Collaborator server location	包括Collaborator服务器位置
